dominant_topic,assigned_topic
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
19,film
11,book
11,book
11,book
11,book
11,book
0,years
2,episode
11,book
11,book
11,book
19,film
11,book
11,book
11,book
11,book
0,years
11,book
11,book
9,government
0,years
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
0,years
11,book
0,years
11,book
0,years
3,king
10,game
11,book
11,book
11,book
0,years
0,years
11,book
11,book
11,book
9,government
11,book
11,book
0,years
11,book
11,book
0,years
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
0,years
9,government
0,years
11,book
0,years
19,film
11,book
3,king
11,book
11,book
11,book
11,book
19,film
11,book
11,book
0,years
0,years
19,film
11,book
11,book
11,book
11,book
0,years
0,years
11,book
11,book
11,book
11,book
11,book
11,book
11,book
0,years
11,book
11,book
2,episode
0,years
11,book
0,years
19,film
11,book
0,years
0,years
11,book
11,book
11,book
11,book
11,book
11,book
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
4,use
3,king
15,building
15,building
4,use
15,building
15,building
15,building
15,building
4,use
15,building
15,building
15,building
4,use
4,use
3,king
5,album
4,use
15,building
15,building
15,building
15,building
15,building
15,building
3,king
15,building
4,use
15,building
15,building
5,album
15,building
15,building
15,building
14,road
15,building
15,building
3,king
15,building
16,species
15,building
15,building
15,building
15,building
15,building
15,building
15,building
15,building
15,building
15,building
15,building
15,building
15,building
4,use
4,use
15,building
15,building
3,king
4,use
15,building
15,building
15,building
4,use
3,king
1,team
15,building
15,building
15,building
4,use
15,building
4,use
15,building
14,road
15,building
15,building
4,use
15,building
4,use
4,use
15,building
15,building
4,use
15,building
3,king
15,building
15,building
4,use
15,building
15,building
15,building
15,building
4,use
15,building
15,building
15,building
15,building
15,building
15,building
15,building
15,building
19,film
15,building
15,building
11,book
9,government
15,building
15,building
15,building
15,building
15,building
3,king
3,king
4,use
3,king
15,building
4,use
15,building
4,use
15,building
15,building
15,building
3,king
15,building
15,building
15,building
15,building
4,use
3,king
3,king
4,use
15,building
15,building
15,building
0,years
15,building
15,building
4,use
15,building
15,building
3,king
15,building
15,building
4,use
4,use
15,building
4,use
15,building
15,building
15,building
15,building
15,building
15,building
15,building
11,book
4,use
15,building
15,building
15,building
4,use
15,building
15,building
15,building
15,building
15,building
15,building
3,king
15,building
15,building
4,use
15,building
4,use
9,government
19,film
15,building
0,years
15,building
15,building
15,building
15,building
15,building
15,building
4,use
15,building
15,building
15,building
15,building
15,building
15,building
4,use
15,building
3,king
15,building
15,building
15,building
15,building
4,use
15,building
15,building
4,use
15,building
4,use
15,building
6,song
6,song
5,album
6,song
6,song
6,song
6,song
6,song
6,song
6,song
6,song
6,song
6,song
6,song
5,album
5,album
6,song
5,album
6,song
19,film
5,album
6,song
6,song
6,song
6,song
6,song
6,song
6,song
5,album
6,song
6,song
6,song
6,song
6,song
5,album
6,song
6,song
19,film
6,song
6,song
19,film
5,album
6,song
6,song
0,years
5,album
6,song
6,song
5,album
6,song
6,song
5,album
6,song
6,song
19,film
6,song
5,album
6,song
6,song
5,album
6,song
6,song
6,song
6,song
6,song
6,song
6,song
5,album
6,song
5,album
6,song
6,song
6,song
6,song
6,song
6,song
5,album
6,song
6,song
6,song
6,song
6,song
6,song
5,album
5,album
6,song
6,song
6,song
6,song
6,song
6,song
6,song
6,song
6,song
6,song
6,song
6,song
6,song
6,song
6,song
6,song
6,song
6,song
19,film
6,song
6,song
6,song
5,album
6,song
6,song
6,song
6,song
6,song
6,song
6,song
6,song
6,song
5,album
6,song
6,song
6,song
5,album
6,song
6,song
11,book
6,song
6,song
6,song
6,song
6,song
5,album
6,song
6,song
6,song
6,song
6,song
6,song
5,album
6,song
6,song
6,song
5,album
6,song
6,song
6,song
6,song
6,song
6,song
5,album
6,song
14,road
14,road
14,road
14,road
14,road
